,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.8916666666666667,0.9312169312169313,0.796875,0.8712871287128713,1.0
Without augmentation,0.8916666666666667,0.9312169312169313,0.796875,0.8712871287128713,1.0
Undersampling,0.9166666666666666,0.941860465116279,0.9133522727272727,0.9642857142857143,0.9204545454545454
Oversampling,0.9166666666666666,0.942528735632184,0.9034090909090908,0.9534883720930233,0.9318181818181818
Class weights,0.925,0.9508196721311476,0.8693181818181819,0.9157894736842105,0.9886363636363636
