,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.901840490797546,0.9416058394160585,0.827391304347826,0.9485294117647058,0.9347826086956522
Without augmentation,0.9079754601226994,0.9458483754512634,0.8146376811594203,0.9424460431654677,0.9492753623188406
Undersampling,0.7361963190184049,0.8200836820083682,0.7950724637681159,0.9702970297029703,0.7101449275362319
Oversampling,0.8098159509202454,0.8774703557312253,0.8221739130434782,0.9652173913043478,0.8043478260869565
Class weights,0.852760736196319,0.909090909090909,0.8147826086956522,0.9523809523809523,0.8695652173913043
