,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.9083333333333334 +/- 0.02124591463996995,0.938945911905526 +/- 0.01390722928390954,0.864357660054697 +/- 0.02995903880768515,0.921122336444917 +/- 0.01548266048511084,0.9575459652706844 +/- 0.014610028104088103
Without augmentation,0.9020833333333333 +/- 0.023844839879707497,0.9352280871471129 +/- 0.015629398470445845,0.8501531146001516 +/- 0.034502517044717955,0.9115983422939069 +/- 0.01964271329148172,0.9603868743615934 +/- 0.018701579869152263
Undersampling,0.86875 +/- 0.012325166214790864,0.9042478019307714 +/- 0.010460561578790486,0.8904384977676365 +/- 0.011977565315905764,0.9742479194781827 +/- 0.012236142820487373,0.8441330439223698 +/- 0.022177690878517266
Oversampling,0.8791666666666667 +/- 0.007216878364870297,0.9130301060572545 +/- 0.006965979321013579,0.8924112511944381 +/- 0.01306111887111448,0.9690888332151072 +/- 0.017577140613884715,0.8639555669050052 +/- 0.024411266927100488
Class weights,0.8999999999999999 +/- 0.01559023911155808,0.9317105373031852 +/- 0.011358449519713834,0.873984598957132 +/- 0.012820551176521956,0.9344645258335802 +/- 0.004883053205459294,0.9291687946884575 +/- 0.020317657900196875
