,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.8999999999999999 +/- 0.020412414523193124,0.9326388888888889 +/- 0.013366406362559674,0.8636793531088339 +/- 0.029056707766191972,0.9250029861442906 +/- 0.015407060744951573,0.9405643513789581 +/- 0.016545078615190834
Without augmentation,0.8979166666666666 +/- 0.0189800699565506,0.9314803058518142 +/- 0.012580065378635222,0.8572873076542884 +/- 0.024208943842002492,0.9199767623680668 +/- 0.011420356453397526,0.9434052604698672 +/- 0.017686828156627483
Undersampling,0.825 +/- 0.03864007706456541,0.8735468784513183 +/- 0.02732199295830421,0.8276333239974958 +/- 0.05330331547161085,0.9334695979214659 +/- 0.03567014448541524,0.8215972931562819 +/- 0.03207614865499342
Oversampling,0.9020833333333333 +/- 0.025937290829143218,0.933648028290228 +/- 0.016979415763717046,0.8725731541813568 +/- 0.03974785821444953,0.9327869153658466 +/- 0.023808879315863046,0.934914453524004 +/- 0.019968632959300427
Class weights,0.9020833333333333 +/- 0.016002386974726283,0.9342301398074411 +/- 0.010811074632405823,0.8625820918728788 +/- 0.021273371092018663,0.9228939354172134 +/- 0.011730109374473859,0.946182328907048 +/- 0.020267673230556303
