,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.9106453078845717 +/- 0.010101955080573724,0.9470470341544326 +/- 0.006258032882572906,0.8326806304876759 +/- 0.02086458295578853,0.9489613900101266 +/- 0.008092525786855738,0.9453612609753518 +/- 0.01502326922672986
Without augmentation,0.9013955161705673 +/- 0.016848451090016835,0.942843040458719 +/- 0.010443273445218173,0.7617981064212419 +/- 0.012051503453141632,0.9232415511805665 +/- 0.004046084824298683,0.963596212842484 +/- 0.022438290768858078
Undersampling,0.7180186321290616 +/- 0.02676857971162941,0.8025916430337434 +/- 0.02269197351758117,0.8047069713318523 +/- 0.018176860105246516,0.9815340570039819 +/- 0.00468995721987439,0.6794139426637047 +/- 0.03141151732437968
Oversampling,0.8243675679769749 +/- 0.023520909609582807,0.8857979383512107 +/- 0.017973544786848726,0.8593822067068655 +/- 0.01585270819254369,0.9807801456346509 +/- 0.01234896415951106,0.8087644134137311 +/- 0.036872284798481106
Class weights,0.8782852382034385 +/- 0.011728542408455816,0.9256067941552084 +/- 0.007922257999371341,0.8380984872527241 +/- 0.0035101289375117895,0.9572553824128628 +/- 0.0030776202899325165,0.8961969745054481 +/- 0.017255590554293196
