,Accuracy,F1 score,Balanced Accuracy,Precision,Recall
With augmentation (ours),0.9029292585018557 +/- 0.005079150527791192,0.9433925510363097 +/- 0.0030305506431501663,0.7831550830424204 +/- 0.01875988031355206,0.9309297815880792 +/- 0.007023508025841187,0.9563101660848408 +/- 0.008767207660540215
Without augmentation,0.9167992123002349 +/- 0.005273754145615825,0.9512667840973176 +/- 0.0030595053361659186,0.8199666772453189 +/- 0.021691572872973824,0.942868117546477 +/- 0.007843807818540683,0.9599333544906379 +/- 0.008126434682784312
Undersampling,0.8289498598803303 +/- 0.009426152603166517,0.8921338624115198 +/- 0.0055422214145276075,0.8130418914630275 +/- 0.03759943074754141,0.9566097403485797 +/- 0.016319996996697037,0.8360837829260552 +/- 0.010641014744080586
Oversampling,0.8905930470347649 +/- 0.020218899931317487,0.9352866355456272 +/- 0.011720497236015422,0.7922260129059557 +/- 0.05300215037064881,0.9364903704959445 +/- 0.018213007054448095,0.9344520258119116 +/- 0.01699567469519191
Class weights,0.8905741119442552 +/- 0.019339439764035387,0.9353807693466137 +/- 0.010608681147209283,0.7922127895906061 +/- 0.062302136107875515,0.9365721562490411 +/- 0.020928801541508425,0.9344255791812122 +/- 0.00020613108627052688
